,연도,분류,학제,학교명,학교상태,본분교,시도,시군구,설립,주야구분,주소,학과수_전체,지원자_전체_계,입학자_전체_계,재적생_전체_계,재학생_전체_계,유예생_전체_계,휴학생_전체_계,외국인유학생_학사_계,전임교원_계,비전임교원_계,시간강사_계,직원_계,경도,위도,입학정원,모집인원_정원내,지원자_정원내,입학자_정원내,신입생_충원율
0,2020,university,대학교,강릉원주대학교,기존,본교,강원,강원 강릉시,국립,주간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",43,7332,1444,7989,5775,62,2152,151,283,343,0,390,128.8683945,37.76832384,1344.0,1347.0,6940.0,1345.0,99.9
1,2020,university,대학교,강릉원주대학교 _제2캠퍼스,기존,제2캠퍼스,강원,강원 원주시,국립,주간,"강원도 원주시 흥업면 남원로 150 (흥업리, 강릉원주대학교원주캠퍼스)",13,3794,510,2873,2061,32,780,2,93,40,0,0,127.9210379,37.30431429,489.0,488.0,3630.0,485.0,99.4
2,2020,university,대학교,강원대학교,기존,본교,강원,강원 춘천시,국립,주간,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",253,19346,3171,20830,13821,112,6897,265,636,919,0,548,127.74704140000001,37.86729477,2958.0,2966.0,18321.0,2958.0,99.7
3,2020,university,대학교,강원대학교 _제2캠퍼스,기존,제2캠퍼스,강원,강원 삼척시,국립,주간,"강원도 삼척시 중앙로 346 (교동, 강원대학교삼척캠퍼스)",131,6753,1614,9924,5766,15,4143,52,197,289,0,267,129.162037,37.45390618,1529.0,1535.0,6368.0,1528.0,99.5
4,2020,university,대학교,경북대학교,기존,본교,대구,대구 북구,국립,주간,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",179,51120,5078,30423,22303,210,7910,627,1219,1442,0,963,128.6091029,35.88556134,4614.0,4627.0,48373.0,4618.0,99.8
5,2020,university,대학교,경상대학교,기존,본교,경남,경남 진주시,국립,주간,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",120,20272,3253,19254,13989,148,5117,275,816,1080,0,543,128.0984744,35.15057853,3032.0,3033.0,19236.0,3028.0,99.8
6,2020,university,대학교,공주대학교,기존,본교,충남,충남 공주시,국립,주간,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",130,21039,3153,16925,12945,82,3898,188,557,794,0,529,127.1397518,36.47045487,2730.0,2737.0,19623.0,2731.0,99.8
7,2020,university,대학교,군산대학교,기존,본교,전북,전북 군산시,국립,주간,"전라북도 군산시 대학로 558 (미룡동, 군산대학교)",58,8707,1881,9945,7313,29,2603,151,341,277,0,273,126.6803561,35.95034472,1735.0,1735.0,8134.0,1732.0,99.8
8,2020,university,대학교,금오공과대학교,기존,본교,경북,경북 구미시,국립,주야간,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교)",42,7283,1310,8240,5574,57,2609,30,231,209,0,249,128.3962769,36.14249038,1206.0,1210.0,6709.0,1206.0,99.7
9,2020,university,대학교,목포대학교,기존,본교,전남,전남 무안군,국립,주간,"전라남도 무안군 청계면 영산로 1666 (도림리, 목포대학교)",95,9441,1784,9961,7329,6,2626,94,316,395,0,267,126.43388020000002,34.90703063,1576.0,1591.0,8646.0,1575.0,99.0
