학교명,2018,2019,2020
가야대학교,95.5,87.9,81.8
가천대학교,100.0,99.9,99.9
가톨릭관동대학교,99.3,99.7,99.2
가톨릭대학교,99.9,99.7,99.9
가톨릭대학교 _제2캠퍼스,100.0,100.0,100.0
가톨릭대학교 _제3캠퍼스,98.0,100.0,100.0
감리교신학대학교,99.0,95.1,94.6
강남대학교,99.3,99.1,100.0
강릉원주대학교,99.8,99.7,99.9
강릉원주대학교 _제2캠퍼스,100.2,99.4,99.4
강원대학교,99.7,99.5,99.7
강원대학교 _제2캠퍼스,99.4,98.9,99.5
건국대학교,99.5,98.7,99.3
건국대학교(글로컬) _분교,99.6,99.7,99.9
건양대학교,99.8,99.3,99.8
건양대학교 _제2캠퍼스,99.6,99.9,100.0
건양사이버대학교,88.6,89.2,80.4
경기대학교,99.8,99.9,99.9
경기대학교 _제2캠퍼스,100.0,99.7,99.4
경남과학기술대학교,99.5,99.6,100.0
경남대학교,99.5,99.4,95.8
경동대학교,99.4,100.0,99.1
경동대학교 _제3캠퍼스,99.9,99.9,99.9
경동대학교 _제4캠퍼스,100.0,99.7,100.0
경북대학교,99.6,99.7,99.8
경상대학교,,,99.8
경성대학교,99.8,99.7,99.9
경운대학교,100.0,100.0,98.4
경인교육대학교,100.0,99.7,99.5
경일대학교,99.2,100.0,99.3
경주대학교,32.9,20.5,25.1
경희대학교,99.7,99.5,99.5
경희사이버대학교,60.8,71.1,67.0
계명대학교,100.0,99.8,100.0
고려대학교,99.9,99.8,99.8
고려대학교(세종) _분교,99.7,99.8,99.7
고려사이버대학교,81.0,71.8,73.3
고신대학교,100.0,100.0,100.0
공주교육대학교,99.7,100.0,100.0
공주대학교,99.7,99.9,99.8
광신대학교,97.5,98.4,100.0
광운대학교,99.8,99.8,99.9
광주가톨릭대학교,60.0,72.5,60.0
광주과학기술원,99.5,98.0,99.0
광주교육대학교,99.7,99.7,100.0
광주대학교,99.8,99.4,98.6
광주여자대학교,100.0,100.0,100.0
국민대학교,99.5,99.8,99.8
국제사이버대학교,97.0,98.4,100.0
군산대학교,100.0,99.8,99.8
